Type,Region,Residence Type,Service Type,Year,Coverage,Population,Service level
who,Africa,urban,Drinking water,2010,2.32114,7410724.73433,Surface water
who,Africa,total,Drinking water,2010,20.59369,174820745.98701,Unimproved
who,Africa,rural,Drinking water,2010,28.73853,152208937.58475,Unimproved
who,Africa,urban,Drinking water,2010,7.08233,22611804.14041,Unimproved
who,Africa,total,Drinking water,2011,31.82866,280723812.37399,Basic service
who,Africa,rural,Drinking water,2011,31.11053,170362671.26023,Basic service
who,Africa,urban,Drinking water,2011,33.00471,110361140.56404,Basic service
who,Africa,total,Drinking water,2011,11.11625,98043549.54889,Limited service
who,Africa,rural,Drinking water,2011,13.00779,71231234.48475,Limited service
who,Africa,urban,Drinking water,2011,8.01852,26812314.91589,Limited service
who,Africa,total,Drinking water,2011,25.42981,224286961.31133,Safely managed service
who,Africa,rural,Drinking water,2011,10.51812,57597693.01727,Safely managed service
who,Africa,urban,Drinking water,2011,49.85026,166689267.56303,Safely managed service
who,Africa,total,Drinking water,2011,11.66116,102849600.74672,Surface water
who,Africa,rural,Drinking water,2011,17.40163,95292118.69894,Surface water
who,Africa,urban,Drinking water,2011,2.26015,7557481.96898,Surface water
who,Africa,total,Drinking water,2011,19.96413,176080490.01819,Unimproved
who,Africa,rural,Drinking water,2011,27.96192,153120745.69727,Unimproved
who,Africa,urban,Drinking water,2011,6.86636,22959742.88606,Unimproved
who,Africa,total,Drinking water,2012,32.04148,290360701.13085,Basic service
who,Africa,rural,Drinking water,2012,31.62371,176426002.58131,Basic service
who,Africa,urban,Drinking water,2012,32.71063,113934697.14742,Basic service
who,Africa,total,Drinking water,2012,11.28034,102222726.14601,Limited service
who,Africa,rural,Drinking water,2012,13.40559,74788662.45886,Limited service
who,Africa,urban,Drinking water,2012,7.87632,27434063.11785,Limited service
who,Africa,total,Drinking water,2012,26.18607,237298817.87214,Safely managed service
who,Africa,rural,Drinking water,2012,10.91388,60887638.17487,Safely managed service
who,Africa,urban,Drinking water,2012,50.64762,176411179.04852,Safely managed service
who,Africa,total,Drinking water,2012,11.07949,100402635.88166,Surface water
who,Africa,rural,Drinking water,2012,16.66852,92992268.40431,Surface water
who,Africa,urban,Drinking water,2012,2.12752,7410366.80205,Surface water
who,Africa,total,Drinking water,2012,19.41261,175917545.07024,Unimproved
who,Africa,rural,Drinking water,2012,27.38829,152796967.41508,Unimproved
who,Africa,urban,Drinking water,2012,6.63791,23120579.84281,Unimproved
who,Africa,total,Drinking water,2013,32.23197,300093653.5242,Basic service
