Type,Region,Residence Type,Service Type,Year,Coverage,Population,Service level
who,Africa,rural,Sanitation,2008,35.25423,179901506.38112,Unimproved
who,Africa,urban,Sanitation,2008,19.56876,57567806.3173,Unimproved
who,Africa,total,Sanitation,2009,10.24415,84652080.8632,Basic service
who,Africa,rural,Sanitation,2009,3.91002,20327656.02548,Basic service
who,Africa,urban,Sanitation,2009,20.98958,64324424.3729,Basic service
who,Africa,total,Sanitation,2009,16.41022,135605076.00369,Limited service
who,Africa,rural,Sanitation,2009,8.80842,45793802.70165,Limited service
who,Africa,urban,Sanitation,2009,29.30615,89811272.42136,Limited service
who,Africa,total,Sanitation,2009,24.47893,202280549.49391,Open defecation
who,Africa,rural,Sanitation,2009,34.67426,180266810.33781,Open defecation
who,Africa,urban,Sanitation,2009,7.18326,22013736.69511,Open defecation
who,Africa,total,Sanitation,2009,19.28262,159341035.3137,Safely managed service
who,Africa,rural,Sanitation,2009,16.91984,87963966.85627,Safely managed service
who,Africa,urban,Sanitation,2009,23.29092,71377067.07225,Safely managed service
who,Africa,total,Sanitation,2009,29.58408,244466679.32551,Unimproved
who,Africa,rural,Sanitation,2009,35.68747,185534345.1093,Unimproved
who,Africa,urban,Sanitation,2009,19.2301,58932332.21807,Unimproved
who,Africa,total,Sanitation,2010,10.39536,88246683.80239,Basic service
who,Africa,rural,Sanitation,2010,3.92797,20803849.11493,Basic service
who,Africa,urban,Sanitation,2010,21.12403,67442834.25144,Basic service
who,Africa,total,Sanitation,2010,16.58191,140764563.15602,Limited service
who,Africa,rural,Sanitation,2010,8.84463,46844153.71985,Limited service
who,Africa,urban,Sanitation,2010,29.41717,93920408.85935,Limited service
who,Africa,total,Sanitation,2010,23.76868,201773325.92508,Open defecation
who,Africa,rural,Sanitation,2010,33.87916,179435415.92522,Open defecation
who,Africa,urban,Sanitation,2010,6.99654,22337910.15094,Open defecation
who,Africa,total,Sanitation,2010,19.61345,166499453.35121,Safely managed service
who,Africa,rural,Sanitation,2010,17.2252,91230437.20209,Safely managed service
who,Africa,urban,Sanitation,2010,23.5753,75269015.77924,Safely managed service
who,Africa,total,Sanitation,2010,29.6406,251620313.7653,Unimproved
who,Africa,rural,Sanitation,2010,36.12304,191319785.70139,Unimproved
who,Africa,urban,Sanitation,2010,18.88696,60300523.60603,Unimproved
who,Africa,total,Sanitation,2011,10.45716,92230492.71606,Basic service
who,Africa,rural,Sanitation,2011,3.90494,21383602.63832,Basic service
who,Africa,urban,Sanitation,2011,21.18754,70846889.76846,Basic service
who,Africa,total,Sanitation,2011,16.63387,146708125.32739,Limited service
who,Africa,rural,Sanitation,2011,8.8148,48270254.0339,Limited service
who,Africa,urban,Sanitation,2011,29.43893,98437870.85487,Limited service
who,Africa,total,Sanitation,2011,23.59678,208119927.12335,Open defecation
who,Africa,rural,Sanitation,2011,33.73983,184760834.42822,Open defecation
who,Africa,urban,Sanitation,2011,6.98579,23359092.50506,Open defecation
who,Africa,total,Sanitation,2011,19.77807,174439526.16131,Safely managed service
who,Africa,rural,Sanitation,2011,17.31824,94835443.97277,Safely managed service
who,Africa,urban,Sanitation,2011,23.80648,79604081.8054,Safely managed service
who,Africa,total,Sanitation,2011,29.53412,260486342.67276,Unimproved
who,Africa,rural,Sanitation,2011,36.22219,198354328.08579,Unimproved
who,Africa,urban,Sanitation,2011,18.58126,62132012.96421,Unimproved
who,Africa,total,Sanitation,2012,10.61799,96220474.72302,Basic service
who,Africa,rural,Sanitation,2012,3.93364,21945450.6782,Basic service
who,Africa,urban,Sanitation,2012,21.32435,74275023.79871,Basic service
who,Africa,total,Sanitation,2012,16.81855,152410091.75976,Limited service
who,Africa,rural,Sanitation,2012,8.85773,49416515.02312,Limited service
who,Africa,urban,Sanitation,2012,29.56944,102993576.25843,Limited service
who,Africa,total,Sanitation,2012,22.88623,207395588.64183,Open defecation
who,Africa,rural,Sanitation,2012,32.94778,183812866.90739,Open defecation
who,Africa,urban,Sanitation,2012,6.7706,23582720.38879,Open defecation
who,Africa,total,Sanitation,2012,20.1065,182205617.66092,Safely managed service
who,Africa,rural,Sanitation,2012,17.61303,98261596.62624,Safely managed service
who,Africa,urban,Sanitation,2012,24.10031,83944020.22972,Safely managed service
who,Africa,total,Sanitation,2012,29.57073,267970653.31447,Unimproved
who,Africa,rural,Sanitation,2012,36.64782,204455109.8006,Unimproved
who,Africa,urban,Sanitation,2012,18.2353,63515545.28335,Unimproved
who,Africa,total,Sanitation,2013,10.78446,100408045.61168,Basic service
who,Africa,rural,Sanitation,2013,3.96403,22527979.83165,Basic service
who,Africa,urban,Sanitation,2013,21.47028,77880064.04082,Basic service
who,Africa,total,Sanitation,2013,17.00211,158297054.63477,Limited service
who,Africa,rural,Sanitation,2013,8.90057,50582795.53104,Limited service
who,Africa,urban,Sanitation,2013,29.69509,107714256.93583,Limited service
who,Africa,total,Sanitation,2013,22.17843,206490889.5769,Open defecation
who,Africa,rural,Sanitation,2013,32.15116,182718037.82711,Open defecation
who,Africa,urban,Sanitation,2013,6.55379,23772853.37457,Open defecation
who,Africa,total,Sanitation,2013,20.43669,190274450.60901,Safely managed service
who,Africa,rural,Sanitation,2013,17.90652,101764438.65253,Safely managed service
who,Africa,urban,Sanitation,2013,24.40078,88510010.913,Safely managed service
who,Africa,total,Sanitation,2013,29.59831,275573156.56856,Unimproved
who,Africa,rural,Sanitation,2013,37.07771,210716060.3941,Unimproved
who,Africa,urban,Sanitation,2013,17.88006,64857094.65777,Unimproved
who,Africa,total,Sanitation,2014,10.95489,104781296.52676,Basic service
who,Africa,rural,Sanitation,2014,3.99495,23122681.27539,Basic service
who,Africa,urban,Sanitation,2014,21.62096,81658614.99821,Basic service
who,Africa,total,Sanitation,2014,17.1856,164376838.71066,Limited service
who,Africa,rural,Sanitation,2014,8.94462,51771236.42682,Limited service
who,Africa,urban,Sanitation,2014,29.81487,112605601.93299,Limited service
who,Africa,total,Sanitation,2014,21.4703,205359193.92504,Open defecation
who,Africa,rural,Sanitation,2014,31.34647,181432552.58672,Open defecation
who,Africa,urban,Sanitation,2014,6.33512,23926641.24072,Open defecation
who,Africa,total,Sanitation,2014,20.76852,198646801.80661,Safely managed service
who,Africa,rural,Sanitation,2014,18.19887,105334596.76023,Safely managed service
who,Africa,urban,Sanitation,2014,24.70651,93312204.74706,Safely managed service
who,Africa,total,Sanitation,2014,29.62069,283315973.93188,Unimproved
who,Africa,rural,Sanitation,2014,37.51509,217136357.08985,Unimproved
who,Africa,urban,Sanitation,2014,17.52255,66179617.84701,Unimproved
who,Africa,total,Sanitation,2015,11.12757,109326656.73724,Basic service
who,Africa,rural,Sanitation,2015,4.02584,23725606.48246,Basic service
who,Africa,urban,Sanitation,2015,21.77303,85601050.42491,Basic service
who,Africa,total,Sanitation,2015,17.36982,170655834.65794,Limited service
who,Africa,rural,Sanitation,2015,8.9892,52976290.63322,Limited service
who,Africa,urban,Sanitation,2015,29.93234,117679544.1575,Limited service
who,Africa,total,Sanitation,2015,20.76186,203982132.60609,Open defecation
who,Africa,rural,Sanitation,2015,30.5334,179943371.89901,Open defecation
who,Africa,urban,Sanitation,2015,6.11437,24038759.89556,Open defecation
who,Africa,total,Sanitation,2015,21.10292,207332954.83524,Safely managed service
who,Africa,rural,Sanitation,2015,18.49178,108978148.73411,Safely managed service
who,Africa,urban,Sanitation,2015,25.017,98354805.89159,Safely managed service
who,Africa,total,Sanitation,2015,29.63783,291187198.26348,Unimproved
who,Africa,rural,Sanitation,2015,37.95979,223709519.6268,Unimproved
who,Africa,urban,Sanitation,2015,17.16326,67477676.53745,Unimproved
who,Africa,total,Sanitation,2016,11.30305,114053169.89652,Basic service
who,Africa,rural,Sanitation,2016,4.05712,24338926.46911,Basic service
who,Africa,urban,Sanitation,2016,21.92745,89714243.51851,Basic service
who,Africa,total,Sanitation,2016,17.55422,177130529.17114,Limited service
who,Africa,rural,Sanitation,2016,9.0348,54200401.30933,Limited service
who,Africa,urban,Sanitation,2016,30.0459,122930128.16798,Limited service
who,Africa,total,Sanitation,2016,20.05358,202350293.93148,Open defecation
who,Africa,rural,Sanitation,2016,29.71194,178243998.16043,Open defecation
who,Africa,urban,Sanitation,2016,5.89193,24106297.30176,Open defecation
who,Africa,total,Sanitation,2016,21.43849,216324710.26565,Safely managed service
who,Africa,rural,Sanitation,2016,18.78318,112681588.49439,Safely managed service
who,Africa,urban,Sanitation,2016,25.33187,103643122.61819,Safely managed service
who,Africa,total,Sanitation,2016,29.65065,299189328.03521,Unimproved
who,Africa,rural,Sanitation,2016,38.41295,230441952.34374,Unimproved
who,Africa,urban,Sanitation,2016,16.80285,68747374.04915,Unimproved
who,Africa,total,Sanitation,2017,11.4928,119082629.63206,Basic service
who,Africa,rural,Sanitation,2017,4.09563,25003651.0632,Basic service
who,Africa,urban,Sanitation,2017,22.10223,94078978.58508,Basic service
who,Africa,total,Sanitation,2017,17.76284,184049598.79588,Limited service
who,Africa,rural,Sanitation,2017,9.09954,55552365.91268,Limited service
who,Africa,urban,Sanitation,2017,30.18821,128497233.04132,Limited service
who,Africa,total,Sanitation,2017,19.18219,198756214.06226,Open defecation
who,Africa,rural,Sanitation,2017,28.6659,175004246.80709,Open defecation
who,Africa,urban,Sanitation,2017,5.58012,23751968.32989,Open defecation
who,Africa,total,Sanitation,2017,21.81206,226005635.39625,Safely managed service
who,Africa,rural,Sanitation,2017,19.1137,116688393.13805,Safely managed service
who,Africa,urban,Sanitation,2017,25.6822,109317242.83329,Safely managed service
who,Africa,total,Sanitation,2017,29.75012,308255812.11251,Unimproved
who,Africa,rural,Sanitation,2017,39.02523,238247504.78659,Unimproved
who,Africa,urban,Sanitation,2017,16.44724,70008307.627,Unimproved
who,Africa,total,Sanitation,2018,11.64843,123909084.77325,Basic service
who,Africa,rural,Sanitation,2018,4.10906,25519842.89642,Basic service
