Type,Region,Residence Type,Service Type,Year,Coverage,Population,Service level
who,South-East Asia,urban,Hygiene,2014,15.07681,102231277.13476,Limited service
who,South-East Asia,total,Hygiene,2014,4.88385,92844240.90109,No handwashing facility
who,South-East Asia,rural,Hygiene,2014,5.7019,69732893.57805,No handwashing facility
who,South-East Asia,urban,Hygiene,2014,3.4084,23111344.25621,No handwashing facility
who,South-East Asia,total,Hygiene,2015,68.13271,1309287992.07146,Basic service
who,South-East Asia,rural,Hygiene,2015,60.30489,740128224.16512,Basic service
who,South-East Asia,urban,Hygiene,2015,81.96866,569159766.40622,Basic service
who,South-East Asia,total,Hygiene,2015,27.40807,526693441.16897,Limited service
who,South-East Asia,rural,Hygiene,2015,34.44976,422805520.21157,Limited service
who,South-East Asia,urban,Hygiene,2015,14.96162,103887921.23161,Limited service
who,South-East Asia,total,Hygiene,2015,4.45922,85691641.74228,No handwashing facility
who,South-East Asia,rural,Hygiene,2015,5.24535,64376709.35454,No handwashing facility
who,South-East Asia,urban,Hygiene,2015,3.06971,21314932.40216,No handwashing facility
who,South-East Asia,total,Hygiene,2016,68.87367,1337589392.77856,Basic service
who,South-East Asia,rural,Hygiene,2016,61.04835,751610695.7944,Basic service
who,South-East Asia,urban,Hygiene,2016,82.4256,585978684.89176,Basic service
who,South-East Asia,total,Hygiene,2016,27.08907,526094480.33739,Limited service
who,South-East Asia,rural,Hygiene,2016,34.15881,420553916.58191,Limited service
who,South-East Asia,urban,Hygiene,2016,14.84567,105540563.87922,Limited service
who,South-East Asia,total,Hygiene,2016,4.03726,78407221.00711,No handwashing facility
who,South-East Asia,rural,Hygiene,2016,4.79284,59008122.21493,No handwashing facility
who,South-East Asia,urban,Hygiene,2016,2.72874,19399098.66902,No handwashing facility
who,South-East Asia,total,Hygiene,2017,69.60971,1365938221.54927,Basic service
who,South-East Asia,rural,Hygiene,2017,61.78434,762758513.57682,Basic service
who,South-East Asia,urban,Hygiene,2017,82.88496,603179716.26037,Basic service
who,South-East Asia,total,Hygiene,2017,26.77196,525341109.35458,Limited service
who,South-East Asia,rural,Hygiene,2017,33.87088,418153004.64592,Limited service
who,South-East Asia,urban,Hygiene,2017,14.72908,107188100.56019,Limited service
who,South-East Asia,total,Hygiene,2017,3.61833,71001892.67785,No handwashing facility
who,South-East Asia,rural,Hygiene,2017,4.34478,53638466.27726,No handwashing facility
who,South-East Asia,urban,Hygiene,2017,2.38597,17363426.00944,No handwashing facility
who,South-East Asia,total,Hygiene,2018,70.34102,1394326866.28529,Basic service
who,South-East Asia,rural,Hygiene,2018,62.5133,773566455.55786,Basic service
who,South-East Asia,urban,Hygiene,2018,83.34642,620760355.71821,Basic service
who,South-East Asia,total,Hygiene,2018,26.45628,524426626.34783,Limited service
who,South-East Asia,rural,Hygiene,2018,33.58536,415599634.06989,Limited service
who,South-East Asia,urban,Hygiene,2018,14.61166,108826970.89176,Limited service
who,South-East Asia,total,Hygiene,2018,3.2027,63485056.61993,No handwashing facility
who,South-East Asia,rural,Hygiene,2018,3.90134,48276881.28225,No handwashing facility
who,South-East Asia,urban,Hygiene,2018,2.04193,15208172.76003,No handwashing facility
who,South-East Asia,total,Hygiene,2019,71.06799,1422742981.03844,Basic service
who,South-East Asia,rural,Hygiene,2019,63.23601,784026351.34127,Basic service
who,South-East Asia,urban,Hygiene,2019,83.80957,638716642.64455,Basic service
who,South-East Asia,total,Hygiene,2019,26.09738,522455471.17502,Limited service
who,South-East Asia,rural,Hygiene,2019,33.26171,412392467.33451,Limited service
who,South-East Asia,urban,Hygiene,2019,14.44198,110063012.24352,Limited service
